[16:46:18] [INFO] received Windows console close event; shutting log-core down
[17:18:21] [INFO] received Windows console close event; shutting log-core down
[17:19:09] [INFO] received Windows console close event; shutting log-core down
[17:21:37] [INFO] received Windows console close event; shutting log-core down
[17:33:27] [INFO] received Windows console close event; shutting log-core down
[17:34:36] [INFO] received Windows console close event; shutting log-core down
[17:38:27] [INFO] received Windows console close event; shutting log-core down
[17:55:04] [INFO] received Windows console close event; shutting log-core down
[18:01:08] [INFO] received Windows console close event; shutting log-core down
[18:03:27] [INFO] received Windows console close event; shutting log-core down
[18:04:52] [INFO] received Windows console close event; shutting log-core down
[18:05:40] [INFO] received Windows console close event; shutting log-core down
[18:07:04] [INFO] received Windows console close event; shutting log-core down
[18:14:18] [INFO] received Windows console close event; shutting log-core down
[18:54:37] [INFO] received Windows console close event; shutting log-core down
[19:00:09] [INFO] received Windows console close event; shutting log-core down
[19:03:27] [INFO] received Windows console close event; shutting log-core down
[19:16:32] [INFO] received Windows console close event; shutting log-core down
[19:17:49] [INFO] received Windows console close event; shutting log-core down
[19:25:59] [INFO] received Windows console close event; shutting log-core down
[19:33:03] [INFO] received Windows console close event; shutting log-core down
[19:34:43] [INFO] received Windows console close event; shutting log-core down
[19:35:29] [INFO] received Windows console close event; shutting log-core down
[19:36:17] [INFO] received Windows console close event; shutting log-core down
[19:37:50] [INFO] received Windows console close event; shutting log-core down
[19:39:23] [INFO] received Windows console close event; shutting log-core down
[19:42:55] [INFO] received Windows console close event; shutting log-core down
[19:56:59] [INFO] received Windows console close event; shutting log-core down
[19:58:37] [INFO] received Windows console close event; shutting log-core down
[20:00:53] [INFO] received Windows console close event; shutting log-core down
[20:03:42] [INFO] received Windows console close event; shutting log-core down
[20:05:06] [INFO] received Windows console close event; shutting log-core down
[20:06:53] [INFO] received Windows console close event; shutting log-core down
[20:36:44] [INFO] received Windows console close event; shutting log-core down
[20:37:45] [INFO] received Windows console close event; shutting log-core down
[20:40:29] [INFO] received Windows console close event; shutting log-core down
[20:57:24] [INFO] received Windows console close event; shutting log-core down
[21:01:43] [INFO] received Windows console close event; shutting log-core down
[21:03:56] [INFO] received Windows console close event; shutting log-core down
[21:05:44] [INFO] received Windows console close event; shutting log-core down
[21:08:42] [INFO] received Windows console close event; shutting log-core down
[21:20:46] [INFO] received Windows console close event; shutting log-core down
[21:27:15] [INFO] received Windows console close event; shutting log-core down
[21:28:10] [INFO] received Windows console close event; shutting log-core down
[21:30:37] [INFO] received Windows console close event; shutting log-core down
[21:32:37] [INFO] received Windows console close event; shutting log-core down
[21:35:48] [INFO] received Windows console close event; shutting log-core down
[21:37:57] [INFO] received Windows console close event; shutting log-core down
[21:39:52] [INFO] received Windows console close event; shutting log-core down
[21:41:20] [INFO] received Windows console close event; shutting log-core down
[21:45:19] [INFO] received Windows console close event; shutting log-core down
[21:46:07] [INFO] received Windows console close event; shutting log-core down
[21:54:35] [INFO] received Windows console close event; shutting log-core down
[21:56:47] [INFO] received Windows console close event; shutting log-core down
[22:02:07] [INFO] received Windows console close event; shutting log-core down
[22:07:07] [INFO] received Windows console close event; shutting log-core down
[22:10:27] [INFO] received Windows console close event; shutting log-core down
[22:14:38] [INFO] received Windows console close event; shutting log-core down
[22:28:47] [INFO] received Windows console close event; shutting log-core down
[22:39:33] [INFO] received Windows console close event; shutting log-core down
[22:41:03] [INFO] received Windows console close event; shutting log-core down
[22:43:54] [INFO] received Windows console close event; shutting log-core down
[22:48:02] [INFO] received Windows console close event; shutting log-core down
[22:52:30] [INFO] received Windows console close event; shutting log-core down
[22:54:16] [INFO] received Windows console close event; shutting log-core down
[22:56:28] [INFO] received Windows console close event; shutting log-core down
[23:00:09] [INFO] received Windows console close event; shutting log-core down
[23:02:07] [INFO] received Windows console close event; shutting log-core down
[23:03:26] [INFO] received Windows console close event; shutting log-core down
[23:24:17] [INFO] received Windows console close event; shutting log-core down
[23:27:28] [INFO] received Windows console close event; shutting log-core down
[00:00:14] [INFO] received Windows console close event; shutting log-core down
[00:05:11] [INFO] received Windows console close event; shutting log-core down
[00:08:36] [INFO] received Windows console close event; shutting log-core down
[00:09:36] [INFO] received Windows console close event; shutting log-core down
[00:12:22] [INFO] received Windows console close event; shutting log-core down
[00:23:19] [INFO] received Windows console close event; shutting log-core down
[00:25:02] [INFO] received Windows console close event; shutting log-core down
[00:31:28] [INFO] received Windows console close event; shutting log-core down
[00:35:34] [INFO] received Windows console close event; shutting log-core down
[00:38:16] [INFO] received Windows console close event; shutting log-core down
[00:43:54] [INFO] received Windows console close event; shutting log-core down
[00:46:00] [INFO] received Windows console close event; shutting log-core down
[00:47:50] [INFO] received Windows console close event; shutting log-core down
[00:55:12] [INFO] received Windows console close event; shutting log-core down
[01:00:16] [INFO] received Windows console close event; shutting log-core down
[01:03:36] [INFO] received Windows console close event; shutting log-core down
[01:06:42] [INFO] received Windows console close event; shutting log-core down
[01:10:04] [INFO] received Windows console close event; shutting log-core down
[01:21:57] [INFO] received Windows console close event; shutting log-core down
[01:25:57] [INFO] received Windows console close event; shutting log-core down
[15:42:46] [INFO] received Windows console close event; shutting log-core down
[15:43:55] [INFO] received Windows console close event; shutting log-core down
[15:46:47] [INFO] received Windows console close event; shutting log-core down
[15:48:33] [INFO] received Windows console close event; shutting log-core down
[15:57:08] [INFO] received Windows console close event; shutting log-core down
[15:58:20] [INFO] received Windows console close event; shutting log-core down
[15:58:59] [INFO] received Windows console close event; shutting log-core down
[16:00:04] [INFO] received Windows console close event; shutting log-core down
[16:01:13] [INFO] received Windows console close event; shutting log-core down
[16:02:10] [INFO] received Windows console close event; shutting log-core down
[16:05:54] [INFO] received Windows console close event; shutting log-core down
[16:09:57] [INFO] received Windows console close event; shutting log-core down
[16:10:31] [INFO] received Windows console close event; shutting log-core down
[16:20:32] [INFO] received Windows console close event; shutting log-core down
[16:23:27] [INFO] received Windows console close event; shutting log-core down
[16:26:32] [INFO] received Windows console close event; shutting log-core down
[16:28:21] [INFO] received Windows console close event; shutting log-core down
[16:29:46] [INFO] received Windows console close event; shutting log-core down
[16:32:20] [INFO] received Windows console close event; shutting log-core down
[16:35:10] [INFO] received Windows console close event; shutting log-core down
[16:38:11] [INFO] received Windows console close event; shutting log-core down
[16:40:03] [INFO] received Windows console close event; shutting log-core down
[16:58:39] [INFO] received Windows console close event; shutting log-core down
[16:59:46] [INFO] received Windows console close event; shutting log-core down
[17:05:34] [INFO] received Windows console close event; shutting log-core down
[17:10:22] [INFO] received Windows console close event; shutting log-core down
[17:14:16] [INFO] received Windows console close event; shutting log-core down
[17:18:16] [INFO] received Windows console close event; shutting log-core down
[17:20:32] [INFO] received Windows console close event; shutting log-core down
[17:24:58] [INFO] received Windows console close event; shutting log-core down
[17:27:03] [INFO] received Windows console close event; shutting log-core down
[17:29:15] [INFO] received Windows console close event; shutting log-core down
[18:01:43] [INFO] received Windows console close event; shutting log-core down
[18:11:12] [INFO] received Windows console close event; shutting log-core down
[18:12:22] [INFO] received Windows console close event; shutting log-core down
[18:19:35] [INFO] received Windows console close event; shutting log-core down
[18:26:35] [INFO] received Windows console close event; shutting log-core down
[18:28:52] [INFO] received Windows console close event; shutting log-core down
[00:47:14] [INFO] received Windows console close event; shutting log-core down
[01:03:03] [INFO] received Windows console close event; shutting log-core down
[01:04:59] [INFO] received Windows console close event; shutting log-core down
[01:11:41] [INFO] received Windows console close event; shutting log-core down
[01:16:42] [INFO] received Windows console close event; shutting log-core down
[01:21:12] [INFO] received Windows console close event; shutting log-core down
[01:23:42] [INFO] received Windows console close event; shutting log-core down
[01:26:08] [INFO] received Windows console close event; shutting log-core down
[01:39:22] [INFO] received Windows console close event; shutting log-core down
[21:48:31] [INFO] received Windows console close event; shutting log-core down
[22:04:21] [INFO] received Windows console close event; shutting log-core down
[22:47:59] [INFO] received Windows console close event; shutting log-core down
[22:51:08] [INFO] received Windows console close event; shutting log-core down
[22:53:33] [INFO] received Windows console close event; shutting log-core down
[22:56:32] [INFO] received Windows console close event; shutting log-core down
[22:58:10] [INFO] received Windows console close event; shutting log-core down
[23:01:34] [INFO] received Windows console close event; shutting log-core down
[23:25:42] [INFO] received Windows console close event; shutting log-core down
[23:59:00] [INFO] received Windows console close event; shutting log-core down
[00:37:36] [INFO] received Windows console close event; shutting log-core down
[01:03:32] [INFO] received Windows console close event; shutting log-core down
[01:06:57] [INFO] received Windows console close event; shutting log-core down
[01:23:23] [INFO] received Windows console close event; shutting log-core down
[01:28:07] [INFO] received Windows console close event; shutting log-core down
[01:30:07] [INFO] received Windows console close event; shutting log-core down
[01:31:02] [INFO] received Windows console close event; shutting log-core down
[01:46:37] [INFO] received Windows console close event; shutting log-core down
[01:56:49] [INFO] received Windows console close event; shutting log-core down
[02:03:49] [INFO] received Windows console close event; shutting log-core down
[02:05:17] [INFO] received Windows console close event; shutting log-core down
[02:09:03] [INFO] received Windows console close event; shutting log-core down
[02:15:10] [INFO] received Windows console close event; shutting log-core down
[02:17:19] [INFO] received Windows console close event; shutting log-core down
[02:21:11] [INFO] received Windows console close event; shutting log-core down
[11:34:16] [INFO] received Windows console close event; shutting log-core down
[11:35:55] [INFO] received Windows console close event; shutting log-core down
[11:36:57] [INFO] received Windows console close event; shutting log-core down
[11:40:22] [INFO] received Windows console close event; shutting log-core down
[11:45:55] [INFO] received Windows console close event; shutting log-core down
[11:46:47] [INFO] received Windows console close event; shutting log-core down
[13:07:46] [INFO] received Windows console close event; shutting log-core down
[13:08:47] [INFO] received Windows console close event; shutting log-core down
[13:10:15] [INFO] received Windows console close event; shutting log-core down
[13:11:41] [INFO] received Windows console close event; shutting log-core down
[13:13:00] [INFO] received Windows console close event; shutting log-core down
[13:15:39] [INFO] received Windows console close event; shutting log-core down
[13:18:11] [INFO] received Windows console close event; shutting log-core down
[13:20:14] [INFO] received Windows console close event; shutting log-core down
[13:21:53] [INFO] received Windows console close event; shutting log-core down
[13:23:47] [INFO] received Windows console close event; shutting log-core down
[13:26:53] [INFO] received Windows console close event; shutting log-core down
[13:28:55] [INFO] received Windows console close event; shutting log-core down
[13:33:59] [INFO] received Windows console close event; shutting log-core down
[13:44:35] [INFO] received Windows console close event; shutting log-core down
[15:06:05] [INFO] received Windows console close event; shutting log-core down
[15:07:23] [INFO] received Windows console close event; shutting log-core down
[15:13:28] [INFO] received Windows console close event; shutting log-core down
[15:16:35] [INFO] received Windows console close event; shutting log-core down
[15:20:16] [INFO] received Windows console close event; shutting log-core down
[15:21:30] [INFO] received Windows console close event; shutting log-core down
[15:23:10] [INFO] received Windows console close event; shutting log-core down
[15:24:38] [INFO] received Windows console close event; shutting log-core down
[15:26:32] [INFO] received Windows console close event; shutting log-core down
[15:28:26] [INFO] received Windows console close event; shutting log-core down
[15:31:57] [INFO] received Windows console close event; shutting log-core down
[15:41:57] [INFO] received Windows console close event; shutting log-core down
[15:45:34] [INFO] received Windows console close event; shutting log-core down
[15:47:31] [INFO] received Windows console close event; shutting log-core down
[15:57:20] [INFO] received Windows console close event; shutting log-core down
[16:07:20] [INFO] received Windows console close event; shutting log-core down
[16:11:07] [INFO] received Windows console close event; shutting log-core down
[16:20:42] [INFO] received Windows console close event; shutting log-core down
[16:21:33] [INFO] received Windows console close event; shutting log-core down
[16:22:15] [INFO] received Windows console close event; shutting log-core down
[16:23:22] [INFO] received Windows console close event; shutting log-core down
[16:24:18] [INFO] received Windows console close event; shutting log-core down
[16:25:09] [INFO] received Windows console close event; shutting log-core down
[16:26:45] [INFO] received Windows console close event; shutting log-core down
[16:27:35] [INFO] received Windows console close event; shutting log-core down
[16:28:16] [INFO] received Windows console close event; shutting log-core down
[16:28:52] [INFO] received Windows console close event; shutting log-core down
[16:29:57] [INFO] received Windows console close event; shutting log-core down
[16:30:26] [INFO] received Windows console close event; shutting log-core down
[16:32:34] [INFO] received Windows console close event; shutting log-core down
[16:36:51] [INFO] received Windows console close event; shutting log-core down
[16:37:49] [INFO] received Windows console close event; shutting log-core down
[16:39:44] [INFO] received Windows console close event; shutting log-core down
[16:40:42] [INFO] received Windows console close event; shutting log-core down
[16:45:02] [INFO] received Windows console close event; shutting log-core down
[16:46:26] [INFO] received Windows console close event; shutting log-core down
[16:48:09] [INFO] received Windows console close event; shutting log-core down
[16:48:38] [INFO] received Windows console close event; shutting log-core down
[16:49:29] [INFO] received Windows console close event; shutting log-core down
[16:50:14] [INFO] received Windows console close event; shutting log-core down
[16:51:48] [INFO] received Windows console close event; shutting log-core down
[16:52:47] [INFO] received Windows console close event; shutting log-core down
[16:54:50] [INFO] received Windows console close event; shutting log-core down
[16:59:41] [INFO] received Windows console close event; shutting log-core down
[17:31:46] [INFO] received Windows console close event; shutting log-core down
[17:35:04] [INFO] received Windows console close event; shutting log-core down
[17:51:07] [INFO] received Windows console close event; shutting log-core down
[18:21:08] [INFO] received Windows console close event; shutting log-core down
